"部","經號","經名","卷/篇章","作譯者","著書年代"
"新編部類","B13n0080","大唐西域記（校點本）","12","玄奘,辯機","? ~ ?"
"般若部類","K05n0016","能斷金剛般若波羅蜜多經","1","玄奘","618 ~ 907"
"瑜伽部類","L149n1629","大乘百法明門論註","1","玄奘,慈恩法師","618 ~ 907"
"阿含部類","T02n0124","緣起經","1","玄奘","661 ~ 661"
"般若部類","T05n0220a","大般若波羅蜜多經","600","玄奘","660 ~ 663"
"般若部類","T08n0251","般若波羅蜜多心經","1","玄奘","648 ~ 649"
"華嚴部類","T10n0289","顯無邊佛土功德經","1","玄奘","654 ~ 654"
"寶積部類,淨土宗部類","T12n0367","稱讚淨土佛攝受經","1","玄奘","650 ~ 650"
"涅槃部類","T12n0390","佛臨涅槃記法住經","1","玄奘","652 ~ 652"
"大集部類","T13n0411","大乘大集地藏十輪經","10","玄奘","651 ~ 651"
"經集部類","T14n0436","受持七佛名號所生功德經","1","玄奘","651 ~ 651"
"經集部類","T14n0450","藥師琉璃光如來本願功德經","1","玄奘","650 ~ 650"
"經集部類","T14n0476","說無垢稱經","6","玄奘","650 ~ 650"
"經集部類","T14n0515","如來示教勝軍王經","1","玄奘","646 ~ 649"
"經集部類","T15n0592","天請問經","1","玄奘","648 ~ 648"
"經集部類","T15n0648","寂照神變三摩地經","1","玄奘","663 ~ 663"
"經集部類","T16n0676","解深密經","5","玄奘","647 ~ 647"
"經集部類","T16n0680","佛說佛地經","1","玄奘","645 ~ 645"
"經集部類","T16n0689","甚希有經","1","玄奘","649 ~ 649"
"經集部類","T16n0691","最無比經","1","玄奘","649 ~ 649"
"經集部類","T16n0714","緣起聖道經","1","玄奘","649 ~ 649"
"經集部類","T16n0717","分別緣起初勝法門經","2","玄奘","650 ~ 650"
"經集部類","T17n0765","本事經","7","玄奘","650 ~ 650"
"經集部類","T17n0840","稱讚大乘功德經","1","玄奘","654 ~ 654"
"密教部類","T19n0918","諸佛心陀羅尼經","1","玄奘","650 ~ 650"
"密教部類","T20n1034","呪五首","1","玄奘","664 ~ 664"
